ESCUELA|CODIGO
DERECHO|022
DERECHO - VILLA RICA|0225
CIENCIA POLÍTICA|023
LITERATURA|031
LENGUAS, TRADUCCIÓN E INTERPRETACIÓN|0310
FILOSOFÍA|033
LINGUÍSTICA|034
COMUNICACIÓN SOCIAL|035
ARTE|036
BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN|037
DANZA|038
CONSERVACIÓN Y RESTAURACIÓN|039
EDUCACIÓN INICIAL|0611
EDUCACIÓN PRIMARIA|0612
EDUCACIÓN SECUNDARIA|0613
EDUCACIÓN FÍSICA|062
EDUCACIÓN FÍSICA - OYÓN|0623
QUÍMICA|071
INGENIERÍA QUÍMICA|072
INGENIERÍA AGROINDUSTRIAL|073
INGENIERIA DEL AGUA Y TECNOLOGIAS DE TRATAMIENTO|074
ADMINISTRACIÓN - LIMA|091
ADMINISTRACIÓN - S.J.L|0911
ADMINISTRACIÓN - HUARAL|0912
ADMINISTRACIÓN - CHILCA|0914
ADMINISTRACIÓN - VILLA RICA|0915
ADMINISTRACIÓN DE TURISMO - LIMA|092
ADMINISTRACIÓN DE TURISMO - S.J.L|0921
ADMINISTRACIÓN DE TURISMO - HUARAL|0922
ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - LIMA|093
ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L|0931
ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - HUARAL|0932
ADMINISTRACIÓN DE LA GASTRONOMÍA|094
ADMINISTRACIÓN MARÍTIMA Y PORTUARIA|095
ADMINISTRACION MARITIMA Y PORTUARIA - CHANCAY|0957
MARKETING|096
CIENCIAS BIOLÓGICAS|101
GENÉTICA Y BIOTECNOLOGÍA|102
MICROBIOLOGÍA Y PARASITOLOGÍA|103
CONTABILIDAD - LIMA|111
CONTABILIDAD - S.J.L|1111
CONTABILIDAD - HUARAL|1112
CONTABILIDAD - OYÓN|1113
CONTABILIDAD - CHILCA|1114
CONTABILIDAD - VILLA RICA|1115
GESTIÓN TRIBUTARIA - LIMA|112
GESTIÓN TRIBUTARIA - S.J.L|1121
AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA|113
AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - S.J.L|1131
PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA|114
PRESUPUESTO Y FINANZAS PÚBLICAS - S.J.L|1141
CRIMINALÍSTICA FINANCIERA FORENSE|115
ECONOMÍA|121
ECONOMÍA PÚBLICA|122
ECONOMÍA INTERNACIONAL|123
FÍSICA|131
INGENIERÍA MECÁNICA DE FLUIDOS|132
MATEMÁTICA|141
MATEMÁTICA - CHILCA|1414
ESTADÍSTICA|142
ESTADÍSTICA - CHILCA|1424
INVESTIGACIÓN OPERATIVA|144
INVESTIGACIÓN OPERATIVA - CHILCA|1444
COMPUTACIÓN CIENTÍFICA|145
COMPUTACIÓN CIENTÍFICA - CHILCA|1454
HISTORIA|151
SOCIOLOGÍA|152
ANTROPOLOGÍA|153
ARQUEOLOGÍA|154
TRABAJO SOCIAL|155
GEOGRAFÍA|157
INGENIERÍA GEOLÓGICA|162
INGENIERÍA GEOLÓGICA - OYÓN|1623
INGENIERÍA GEOGRÁFICA|163
INGENIERÍA DE MINAS|165
INGENIERÍA DE MINAS - OYÓN|1653
INGENIERÍA METALÚRGICA|166
INGENIERÍA CIVIL|167
INGENIERÍA AMBIENTAL|168
ARQUITECTURA Y URBANISMO|169
INGENIERÍA INDUSTRIAL|171
INGENIERÍA TEXTIL Y CONFECCIONES|172
INGENIERÍA DE SEGURIDAD Y SALUD EN EL TRABAJO|173
INGENIERÍA ELECTRÓNICA|191
INGENIERÍA ELÉCTRICA|192
INGENIERÍA ELÉCTRICA - CHILCA|1924
INGENIERÍA DE TELECOMUNICACIONES|193
INGENIERÍA BIOMÉDICA|194
INGENIERIA NUCLEAR|195
INGENIERIA MECATRONICA|196
INGENIERÍA DE SISTEMAS|201
INGENIERÍA DE SOFTWARE|202
CIENCIA DE LA COMPUTACIÓN|203
